state,name,candidate,party,total
Telangana,Adilabad ,GODAM NAGESH,TRS,430847
Telangana,Adilabad ,NARESH,INC,259557
Telangana,Adilabad ,RAMESH RATHOD,TDP,184198
Telangana,Adilabad ,RATHOD SADASHIV,BSP,94420
Telangana,Adilabad ,NETHAWATH RAMDAS,IND,41032
Telangana,Adilabad ,PAWAR KRISHNA,IND,5055
Telangana,Adilabad ,BANKA SAHADEV,IND,4787
Telangana,Adilabad ,MOSALI CHINNAIAH,IND,8859
Telangana,Adilabad ,None of the Above,NOTA,17084
Telangana,Peddapalle ,DR.JANAPATI SARAT BABU,TDP,63334
Telangana,Peddapalle ,TAGARAM SHANKAR LAL,BSP,9449
Telangana,Peddapalle ,BALKA SUMAN,TRS,565496
Telangana,Peddapalle ,G. VIVEKANAND,INC,274338
Telangana,Peddapalle ,KALVALA SHANKAR,PPOI,9290
Telangana,Peddapalle ,KALVALA SANJEEV,RPI,8609
Telangana,Peddapalle ,BOTHA VENKATA MALLAIAH,BCUF,2245
Telangana,Peddapalle ,J.V. RAJU,NIP,3020
Telangana,Peddapalle ,VENKATA SWAMY INJAM,MaSP,3866
Telangana,Peddapalle ,VELTHURU MALLAIAH,RP(K),45977
Telangana,Peddapalle ,KAMILLA JAYA RAO,IND,2742
Telangana,Peddapalle ,GADDALA VINAY KUMAR,IND,3266
Telangana,Peddapalle ,GORRE RAMESH,IND,2361
Telangana,Peddapalle ,JINNA RAMADEVI,IND,9199
Telangana,Peddapalle ,THALLAPALLI SRINIVAS,IND,3699
Telangana,Peddapalle ,BUPELLI NARAYANA,IND,7258
Telangana,Peddapalle ,MOUTAM RAVINDER,IND,2674
Telangana,Peddapalle ,None of the Above,NOTA,5361
Telangana,Karimnagar ,CHENNAMANENI VIDYA SAGAR RAO,BJP,214828
Telangana,Karimnagar ,PONNAM PRABHAKAR,INC,300706
Telangana,Karimnagar ,BURLA. RAVI,NCP,4769
Telangana,Karimnagar ,B. LAXMAN,BSP,11328
Telangana,Karimnagar ,VINOD KUMAR BOINAPALLY,TRS,505358
